Nosaukums,Reģistrācijas numurs,Juridiskais status,Vadītājs,Filiāļu skaits,Strukturvienību skaits,Veids,Tips,Faktiskais dibinātājs,Deklarētais dibinātājs,Adrese,Tālrunis,E-pasts,Novads/Pilsēta,Likvidēta,visc_kods,pasvaldiba,urban,valoda,lat,lng
Ugunsdrošības un civilās aizsardzības koledža,3347501387,Valsts tiešās pārvaldes iestāde,AINARS PENCIS,0,0,Augstākās izglītības iestāde,Koledža,Iekšlietu ministrija,Latvijas Republikas Ministru kabinets,"ĶENGARAGA IELA 3/1, RĪGA, LV-1063",67803504,ucak@ucak.vugd.gov.lv,Rīga,N,,,,,0,Didn't find exactly one placemark! (Found 3)
Ugunsdrošības un civilās aizsardzības koledžas Ugunsdzēsēju un glābēju profesionālā skola,3331502492,Valsts tiešās pārvaldes iestāde,,0,0,Profesionālās izglītības iestāde,Profesionālās vidējās izglītības iestāde,Ugunsdrošības un civilās aizsardzības koledža,Ugunsdrošības un civilās aizsardzības koledža,"ĶENGARAGA IELA 3/1, RĪGA, LV-1063",67803517,ucak@vugd.gov.lv,Rīga,J,,,,,0,Didn't find exactly one placemark! (Found 3)
Ukru pamatskola,0712900883,Pašvaldība,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Ukru pagasta padome,Ukru pagasta padome,"UKRU PAGASTS, AUCES NOVADS, LV-3729",3746546,,Auces novads,J,,,,,56.359272,23.0456518
Ulbrokas Mūzikas un mākslas skola,4374902277,Pastarpinātās pārvaldes iestāde,VITA PINNE,0,0,Profesionālās ievirzes izglītības iestāde,Mūzikas un mākslas skola,Stopiņu novada pašvaldība,Stopiņu novada Dome,"INSTITŪTA IELA 1b, ULBROKA, STOPIŅU NOVADS, LV-2130",67910948,muzikas.skola@stopini.lv,Stopiņu novads,N,,,,,56.9431309,24.2861749
Ulbrokas vidusskola,4313901107,Pastarpinātās pārvaldes iestāde,NORMUNDS BALABKA,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Stopiņu novada pašvaldība,Stopiņu novada Dome,"Ulbrokas vidusskola, VĀLODZES, STOPIŅU NOVADS, LV-2130",67910372,ulbr-vsk@latnet.lv,Stopiņu novads,N,10531303,105,3,1,56.9254219,24.3170899
"Uļjanovas pirmsskolas izglītības iestāde ""Skudriņa""",4201902147,Pastarpinātās pārvaldes iestāde,SKAIDRĪTE VESELOVA,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Rēzeknes novada pašvaldība,Rēzeknes novada pašvaldība,"JAUNATNES IELA 10, UĻJANOVA, SAKSTAGALA PAGASTS, RĒZEKNES NOVADS, LV-4645",64640034,uljanovapii@saskarsme.lv,Rēzeknes novads,N,,,,,56.5528132,27.0613946
Umurgas pamatskola,4312900175,Pastarpinātās pārvaldes iestāde,VALENTĪNA OZOLA,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Limbažu novada pašvaldība,Limbažu novada pašvaldība,"Umurgas pamatskola, UMURGA, UMURGAS PAGASTS, LIMBAŽU NOVADS, LV-4004",64070255,umurgas_ps@limbazi.lv,Limbažu novads,N,,,,,57.5184631,24.809252
Upesciema pamatskola,1912901147,Pašvaldība,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Čornajas pagasta Padome,Čornajas pagasta Padome,"ČORNAJAS PAGASTS, RĒZEKNES NOVADS, LV-4617",4693247,,Rēzeknes novads,J,,,,,56.3764701,27.4272701
Upesgrīvas internātpamatskola,4122901278,Pastarpinātās pārvaldes iestāde,MAIJA AVENIŅA,0,0,Speciālās izglītības iestāde,Speciālā pamatskola,Talsu novada pašvaldība,Talsu novada Dome,"""Upesgrīvas skola"", UGUŅCIEMS, VANDZENES PAGASTS, TALSU NOVADS, LV-3284",63254505,upesgriva.skola@gmail.com,Talsu novads,N,,,,,57.380959,22.961952
Upesgrīvas speciālā sākumskola,2220901278,Pastarpinātās pārvaldes iestāde,MAIJA AVENIŅA,0,0,Vispārējās izglītības iestāde,Speciālās izglītības iestāde,Talsu novada pašvaldība,Talsu novada Dome,"Upesgrīvas speciālā sākumskola, UPESGRĪVA, VANDZENES PAGASTS, TALSU NOVADS, LV-3266",63254505,upesgriva@navigator.lv,Talsu novads,J,,,,,57.2920652,22.7037974
Upesleju internātpamatskola – rehabilitācijas centrs,4323901692,Pastarpinātās pārvaldes iestāde,IRĒNA FRANKOVIČA,0,0,Speciālās izglītības iestāde,Internātskola - rehabilitācijas centrs,Stopiņu novada pašvaldība,Stopiņu novada Dome,"""Internātpamatskola"", UPESLEJAS, STOPIŅU NOVADS, LV-2118","67956088, 67956889",skola@upeslejuskola.lv,Stopiņu novads,N,,105,3,3,56.9226639,24.38437,
Upītes pamatskola,4212900427,Pastarpinātās pārvaldes iestāde,SVETLANA BUKOVSKA,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Viļakas novada pašvaldība,Viļakas novada Dome,"STABĻOVAS IELA 1, UPĪTE, ŠĶILBĒNU PAGASTS, VIĻAKAS NOVADS, LV-4587",64546273,upites.skola@inbox.lv,Viļakas novads,N,,,,,57.0266884,27.6714839
Upmalas pamatskola,1112900556,Pastarpinātās pārvaldes iestāde,VIKTORIJA ROŠČUPKINA,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Bērziņu pagasta Padome,Bērziņu pagasta Padome,"Upmalas pamatskola, BĒRZIŅU PAGASTS, DAGDAS NOVADS, LV-5697",65656347,,Dagdas novads,J,,,,,56.0883463,27.8663586
Upmalas sākumskola,0311900445,Pašvaldība,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Rugāju pagasta Padome,Rugāju pagasta Padome,"RUGĀJU PAGASTS, RUGĀJU NOVADS, LV-4570",4548239,,Rugāju novads,J,,,,,57.0351934,27.1095557
Usmas pamatskola,2612900048,Pastarpinātās pārvaldes iestāde,IVETA ROZENBERGA,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Usmas pagasta Padome,Usmas pagasta Padome,"Usmas pamatskola, USMAS PAGASTS, VENTSPILS NOVADS, LV-3619",63673669,ivetaroz@inbox.lv,Ventspils novads,J,,,,,57.1637637,22.1217286
Uzvaras vidusskola,4513901292,Pastarpinātās pārvaldes iestāde,ELITA BORKOVSKA,0,1,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Bauskas novada pašvaldība,Bauskas novada Dome,"SPORTA IELA 3, UZVARA, GAILĪŠU PAGASTS, BAUSKAS NOVADS, LV-3931","63956505, 63956105",uzvara.skola@bauska.lv,Bauskas novads,N,01631419,16,4,1,56.3195403,24.2605891
Užavas pamatskola,4112900047,Pastarpinātās pārvaldes iestāde,GUNTRA MAGONĪTE,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Ventspils novada pašvaldība,Ventspils novada Dome,"Užavas pamatskola, UŽAVA, UŽAVAS PAGASTS, VENTSPILS NOVADS, LV-3627",26331028,uzavaspsk@ventspilsnd.lv,Ventspils novads,N,,,,,57.2295332,21.4552519
V. Plūdoņa Kuldīgas ģimnāzija,4116901197,Pastarpinātās pārvaldes iestāde,JANA JANSONE,0,0,Vispārējās izglītības iestāde,Ģimnāzija,Kuldīgas novada pašvaldība,Kuldīgas novada Dome,"PILTENES IELA 25, KULDĪGA, KULDĪGAS NOVADS, LV-3301",63322050,,Kuldīgas novads,N,05351318,53,3,1,56.9744159,21.9584379
VAB Amatu skola,3260800671,Biedrība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"""Ventspils Amatnieku biedrība""","""Ventspils Amatnieku biedrība""","LOČU IELA 1, VENTSPILS, LV-3601","63625770, 29144967",Amatumaja@ventspils.gov.lv,Ventspils,N,,,,,57.3937031,21.5416995
Vaboles vidusskola,4213901322,Pastarpinātās pārvaldes iestāde,ELITA SKRUPSKA,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Daugavpils novada Dome,Daugavpils novada Dome,"Vaboles vidusskola, VABOLE, VABOLES PAGASTS, DAUGAVPILS NOVADS, LV-5477",65475838,skola@vabolespag.lv,Daugavpils novads,N,02531418,25,4,1,56.028803,26.4636844
Vadakstes pamatskola,2112900417,Pastarpinātās pārvaldes iestāde,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Vadakstes pagasta Padome,Vadakstes pagasta Padome,"Vadakstes pamatskola, VADAKSTES PAGASTS, SALDUS NOVADS, LV-3895",63846810,vadakste.sk@saldus.lv,Saldus novads,J,,,,,56.3861908,22.7862381
Vadības un sociālā darba augstskola ”Attīstība” Daugavpils filiāle,2744802484,Komercsabiedrības struktūrvienība,AINA VILCIŅA,0,0,Augstākās izglītības iestāde,Latvijas augstskolas filiāle,Vadības un sociālā darba augstskola ”Attīstība” SIA,Vadības un sociālā darba augstskola ”Attīstība” SIA,"DOBELES IELA 30, DAUGAVPILS, LV-5404",65431867,,Daugavpils,N,,,,,55.8781496,26.5432452
Vadības un sociālā darba augstskola ”Attīstība” SIA,3343800242,Komercsabiedrība,,0,0,Augstākās izglītības iestāde,Augstskola,Henriks Kontauts,Henriks Kontauts,"EIŽENIJAS IELA 1, RĪGA, LV-1007",67458937,attistiba@attistiba.lv,Rīga,N,,,,,56.9571069,24.0599615
Vadības un sociālā darba augstskolas ”Attīstība” SIA Rēzeknes filiāle,3144802485,Komercsabiedrības struktūrvienība,,0,0,Augstākās izglītības iestāde,Latvijas augstskolas filiāle,Vadības un sociālā darba augstskola ”Attīstība” SIA,Vadības un sociālā darba augstskola ”Attīstība” SIA,"VIĻĀNU IELA 2, RĒZEKNE, LV-4600",64625402,s_arija@inbox.lv,Rēzekne,N,,,,,56.5030565,27.322214
Vadības un sociālā darba augstskolas ”Attīstība” SIA Smiltenes filiāle,4444802486,Komercsabiedrības struktūrvienība,,0,0,Augstākās izglītības iestāde,Latvijas augstskolas filiāle,Vadības un sociālā darba augstskola ”Attīstība” SIA,Vadības un sociālā darba augstskola ”Attīstība” SIA,"Kalnamuiža Nr.10, SMILTENE, SMILTENES NOVADS, LV-4729",67458937,attistiba@attistiba.lv,Smiltenes novads,N,,,,,57.42306300000001,25.900378
Vaidavas internātpamatskola,4422901174,Pastarpinātās pārvaldes iestāde,AIVARS GAILIS,0,0,Speciālās izglītības iestāde,Speciālā pamatskola,Kocēnu novada pašvaldība,Kocēnu novada Dome,"SKOLAS IELA 5, VAIDAVA, VAIDAVAS PAGASTS, KOCĒNU NOVADS, LV-4228",64284035  64284076,vaidavas.sipsk@kocenunovads.lv,Kocēnu novads,N,,,,,57.4323615,25.2877966
Vaidavas pamatskola,2512900643,Pastarpinātās pārvaldes iestāde,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Vaidavas pagasta Padome,Vaidavas pagasta Padome,"NĀKOTNES IELA 1, VAIDAVA, VAIDAVAS PAGASTS, VALMIERAS NOVADS, VALMIERAS RAJONS, LV-4228",64243101,,Valmieras rajons,J,,,,,57.4677567,25.2555124
Vaiņodes internātpamatskola,4112901323,Pastarpinātās pārvaldes iestāde,REINIS ULBERTS,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Vaiņodes novada pašvaldība,Vaiņodes novada Dome,"RAIŅA IELA 60, VAIŅODE, VAIŅODES PAGASTS, VAIŅODES NOVADS, LV-3435",63464542,visk@inbox.lv,Vaiņodes novads,N,,,,,56.4359115,21.8752868
Vaiņodes Mūzikas skola,4176902359,Pastarpinātās pārvaldes iestāde,MIRANDA ULBERTE,0,0,Profesionālās ievirzes izglītības iestāde,Mūzikas skola,Vaiņodes novada pašvaldība,Vaiņodes novada Dome,"TIRGOŅU IELA 21a, VAIŅODE, VAIŅODES PAGASTS, VAIŅODES NOVADS, LV-3435",63464888,vmsk@inbox.lv,Vaiņodes novads,N,,,,,56.417039,21.8455171
"Vaiņodes novada pirmsskolas izglītības iestāde ""Zīlīte""",4101901763,Pastarpinātās pārvaldes iestāde,INDRA PĪLAGERE,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Vaiņodes novada pašvaldība,Vaiņodes novada Dome,"KALNA IELA 2a, VAIŅODE, VAIŅODES PAGASTS, VAIŅODES NOVADS, LV-3435",63464292,vainodes.bd@inbox.lv,Vaiņodes novads,N,,,,,56.417953,21.8386133
Vaiņodes vidusskola,4113900999,Pastarpinātās pārvaldes iestāde,ZIGMUNDS MICKUS,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Vaiņodes novada pašvaldība,Vaiņodes novada Dome,"AVOTU IELA 4, VAIŅODE, VAIŅODES PAGASTS, VAIŅODES NOVADS, LV-3435",63464423,vvskola@inbox.lv,Vaiņodes novads,N,11031402,110,4,1,56.4217682,21.8541564
Vaivaru pamatskola,2912901441,Pastarpinātās pārvaldes iestāde,INESE KĀRKLIŅA,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Jūrmalas pilsētas Dome,Jūrmalas pilsētas Dome,"SKAUTU IELA 2, JŪRMALA, LV-2008",67811175,vaivarupsk@navigator.lv,Jūrmala,N,,,,,56.9600155,23.6649393
Valdemārpils Mūzikas un mākslas skola,4174902331,Pastarpinātās pārvaldes iestāde,ILZE ŠELKOVA,0,0,Profesionālās ievirzes izglītības iestāde,Mūzikas un mākslas skola,Talsu novada pašvaldība,Talsu novada Dome,"LIELĀ IELA 28, VALDEMĀRPILS, TALSU NOVADS, LV-3260",63276731,valdemarpilsmms@talsi.lv,Talsu novads,N,,,,,57.3744866,22.5916252
"Valdemārpils pirmsskolas izglītības iestāde ""Saulstariņš""",4101901587,Pastarpinātās pārvaldes iestāde,LĪGA BLAUA,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Talsu novada pašvaldība,Talsu novada Dome,"JAUNĀ IELA 1a, VALDEMĀRPILS, TALSU NOVADS, LV-3260",63276635,blaua@inbox.lv,Talsu novads,N,,,,,57.37317609999999,22.5894793
Valdemārpils vidusskola,4113900616,Pastarpinātās pārvaldes iestāde,ANDRIS DZENIS,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Talsu novada pašvaldība,Talsu novada Dome,"SKOLAS IELA 3, VALDEMĀRPILS, TALSU NOVADS, LV-3260",63291102,valdemarpils.vidusskola@talsi.lv,Talsu novads,N,10731324,107,3,1,57.3738175,22.594919
"Valdgales pirmsskolas izglītības iestāde ""Kamenīte""",4101901582,Pastarpinātās pārvaldes iestāde,LAILA LAIZĀNE,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Talsu novada pašvaldība,Talsu novada Dome,"Pirmsskolas izglītības iestāde Kamenīte, PŪŅAS, VALDGALES PAGASTS, TALSU NOVADS, LV-3253",63222940,lailava40@inbox.lv,Talsu novads,N,,,,,57.3437269,22.4960258
Valdorfpedagoģijas mācību centrs,4360800796,Biedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Biedrība ""Latvijas Valdorfpedagoģijas asociācija""","Biedrība ""Latvijas Valdorfpedagoģijas asociācija""","PIRMĀ IELA 26A, ĀDAŽI, ĀDAŽU NOVADS, LV-2164","29412690, 29450414",ievazunda@inbox.lv,Ādažu novads,N,,,,,57.07614659999999,24.3244114
Valgales sākumskola,2211900597,Pastarpinātās pārvaldes iestāde,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Talsu rajona Padome,Talsu rajona Padome,"Valgales sākumskola, TALSU RAJONS, LV-3295",63200826,Zanecirule2@inbox.lv,Talsu rajons,J,,,,,0,The geocode was successful but returned no results. This may occur if the geocode was passed a non-existent address or a latlng in a remote location.
Valkas 1. vidusskola,2413901212,Pašvaldība,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Valkas pilsētas Dome,Valkas pilsētas Dome,"RAIŅA IELA 28a, VALKA, VALKAS NOVADS, LV-4701",4722271,valkas1v@mail.eunet.lv,Valkas novads,J,,,,,57.7746659,26.0147362
Valkas 2. vidusskola,2413901214,Pašvaldība,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Valkas pilsētas Dome,Valkas pilsētas Dome,"AUSEKĻA IELA 5, VALKA, VALKAS NOVADS, LV-4700",4723386,,Valkas novads,J,,,,,57.7808475,26.0152992
Valkas ģimnāzija,4416902397,Pastarpinātās pārvaldes iestāde,LILITA KREICBERGA,0,0,Vispārējās izglītības iestāde,Ģimnāzija,Valkas novada pašvaldība,Valkas novada Dome,"RAIŅA IELA 28a, VALKA, VALKAS NOVADS, LV-4701",64707271,valkas.gimnazija@valka.lv,Valkas novads,N,11151304,111,3,1,57.7746659,26.0147362
Valkas Mākslas skola,4475902291,Pastarpinātās pārvaldes iestāde,MARUTA STABULNIECE,0,0,Profesionālās ievirzes izglītības iestāde,Mākslas skola,Valkas novada pašvaldība,Valkas novada Dome,"BEVERĪNAS IELA 5, VALKA, VALKAS NOVADS, LV-4701",64724078,maruta.stabulniece@valka.lv,Valkas novads,N,,,,,57.773065,26.0153515
Valkas novada Bērnu - jaunatnes sporta skola,4471902193,Pastarpinātās pārvaldes iestāde,MUDĪTE GERKE,0,0,Profesionālās ievirzes izglītības iestāde,Sporta skola,Valkas novada pašvaldība,Valkas novada Dome,"SEMINĀRA IELA 27a, VALKA, VALKAS NOVADS, LV-4701","64722046, 26324114",bjss@valka.lv,Valkas novads,N,,,,,57.7723714,26.019095
"Valkas novada Bērnu un jauniešu centrs ""Mice""",4451901721,Pastarpinātās pārvaldes iestāde,KRISTĪNE GANIŅA,0,0,Bērnu un jauniešu interešu izglītības iestāde,Bērnu un jauniešu interešu izglītības iestāde,Valkas novada pašvaldība,Valkas novada Dome,"SEMINĀRA IELA 27, VALKA, VALKAS NOVADS, LV-4701",64723036,bjc@valka.lv,Valkas novads,N,,,,,57.77273100000001,26.0188318
Valkas pamatskola,4412902396,Pastarpinātās pārvaldes iestāde,NADEŽDA MOŽAROVA,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Valkas novada pašvaldība,Valkas novada Dome,"AUSEKĻA IELA 5, VALKA, VALKAS NOVADS, LV-4701","64707508, 26443050",valka.pamatskola@valka.lv,Valkas novads,N,,,,,57.7808475,26.0152992
"Valkas pilsētas pirmsskolas izglītības iestāde ""Pasaciņa""",4401901406,Pastarpinātās pārvaldes iestāde,LAILA OZOLIŅA,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Valkas novada pašvaldība,Valkas novada Dome,"AUSEKĻA IELA 44, VALKA, VALKAS NOVADS, LV-4700",64724164,pasacina@valka.lv,Valkas novads,N,,,,,57.78472000000001,26.0203765
"Valkas pilsētas speciālā pirmsskolas izglītības iestāde ""Pumpuriņš""",4402901407,Pastarpinātās pārvaldes iestāde,MIRDZA MIĶELSONE,0,0,Pirmsskolas izglītības iestāde,Speciālā pirmsskolas iestāde,Valkas novada pašvaldība,Valkas novada Dome,"PUŠKINA IELA 10, VALKA, VALKAS NOVADS, LV-4701","64722076, 29406722",pumpurins@valka.lv,Valkas novads,N,,,,,57.7715044,26.009011
"Valkas-Lugažu evaņģēliski luteriskās draudzes pirmsskolas izglītības iestāde ""Gaismiņa""",4401801446,Juridiskā vai fiziskā persona,ILVA KAZAKA,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,VALKAS-LUGAŽU EVANĢĒLISKI LUTERISKĀ DRAUDZE,VALKAS-LUGAŽU EVANĢĒLISKI LUTERISKĀ DRAUDZE,"RĪGAS IELA 14, VALKA, VALKAS NOVADS, LV-4701",64722893,piigaismina@tvnet.lv,Valkas novads,N,,,,,57.77658020000001,26.0220516
Valmieras 2. vidusskola,2513901058,Pastarpinātās pārvaldes iestāde,ANDREJS GLUHOVS,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Valmieras pilsētas pašvaldība,Valmieras pilsētas pašvaldība,"LĀČPLĒŠA IELA 2, VALMIERA, LV-4201",64281559,v2v@valmiera.edu.lv,Valmiera,N,11333201,113,2,3,57.5389649,25.4267958
Valmieras 36. arodvidusskola,2531000011,Valsts tiešās pārvaldes iestāde,,0,0,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,Latvijas Republikas Ministru kabinets,Latvijas Republikas Ministru kabinets,"VADU IELA 3, VALMIERA, LV-4202",64232155,skola@v36.edu.lv,Valmiera,J,,,,,57.52758139999999,25.445837
Valmieras 5. vidusskola,2513901081,Pastarpinātās pārvaldes iestāde,RUDĪTE MARKUS,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Valmieras pilsētas pašvaldība,Valmieras pilsētas Dome,"RAIŅA IELA 3, VALMIERA, LV-4201",64222443,v5vadm@valmiera.edu.lv,Valmiera,N,11331204,113,2,1,57.5409823,25.4240264
Valmieras Bērnu sporta skola,2571902195,Pastarpinātās pārvaldes iestāde,LĪGA DZENE,0,0,Profesionālās ievirzes izglītības iestāde,Sporta skola,Valmieras pilsētas pašvaldība,Valmieras pilsētas pašvaldība,"CĒSU IELA 19, VALMIERA, LV-4201",64231094,vbss@valmiera.edu.lv,Valmiera,N,,,,,57.53199410000001,25.4251499
Valmieras ģimnāzija,2513901082,Pašvaldība,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Valmieras pilsētas Dome,Valmieras pilsētas Dome,"L.Paegles 40, VALMIERA, LV-4201",4222459,v1v@valmiera.lanet.lv,Valmiera,J,,,,,57.5326968,25.4086618
"Valmieras Jaunatnes centrs ""Vinda""",2551902465,Pastarpinātās pārvaldes iestāde,DĀVIS SIRMAIS,0,0,Bērnu un jauniešu interešu izglītības iestāde,Bērnu un jauniešu interešu izglītības iestāde,Valmieras pilsētas pašvaldība,Valmieras pilsētas Dome,"LILIJAS IELA 2, VALMIERA, LV-4200",64232302,vinda@valmiera.lv,Valmiera,N,,,,,57.53659620000001,25.4161586
Valmieras Mākslas vidusskola,2531901607,Pastarpinātās pārvaldes iestāde,EDGARS BOGDĀNS,0,0,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,Valmieras pilsētas pašvaldība,Valmieras pilsētas pašvaldība,"LĀČPLĒŠA IELA 2, VALMIERA, LV-4201","64207362, 64207372, 20216721, 25669992",vmv@valmiera.edu.lv,Valmiera,N,11371205,113,2,1,57.5389649,25.4267958
Valmieras Mūzikas skola,2576902404,Pastarpinātās pārvaldes iestāde,AIVARS CEPĪTIS,0,0,Profesionālās ievirzes izglītības iestāde,Mūzikas skola,Valmieras pilsētas pašvaldība,Valmieras pilsētas pašvaldība,"LĀČPLĒŠA IELA 2, VALMIERA, LV-4201",64281150,muzikas.skola@valmiera.edu.lv,Valmiera,N,,,,,57.5389649,25.4267958
Valmieras pamatskola,2512902507,Pastarpinātās pārvaldes iestāde,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Valmieras pilsētas pašvaldība,Valmieras pilsētas Dome,"LEONA PAEGLES IELA 40a, VALMIERA, LV-4201",64224237,arturs.skrastins@valmiera.lv,Valmiera,J,,,,,57.5320602,25.4076936
Valmieras Pārgaujas ģimnāzija,2516900630,Pastarpinātās pārvaldes iestāde,AGITA ZARIŅA,0,0,Vispārējās izglītības iestāde,Ģimnāzija,Valmieras pilsētas pašvaldība,Valmieras pilsētas pašvaldība,"LĀČPLĒŠA IELA 2, VALMIERA, LV-4201",64235623,vpg@valmiera.edu.lv,Valmiera,N,11351207,113,2,1,57.5389649,25.4267958
Valmieras Pārgaujas pamatskola,2512902432,Pastarpinātās pārvaldes iestāde,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Valmieras pilsētas pašvaldība,Valmieras pilsētas Dome,"MEŽA IELA 12a, VALMIERA, LV-4201",64235307,vpp@valmiera.edu.lv,Valmiera,J,,,,,57.527904,25.4280178
Valmieras Pārgaujas sākumskola,2511902432,Pastarpinātās pārvaldes iestāde,VIKTORS LITAUNIEKS,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Valmieras pilsētas pašvaldība,Valmieras pilsētas pašvaldība,"LĀČPLĒŠA IELA 2, VALMIERA, LV-4201",64235307,vps@valmiera.edu.lv,Valmiera,N,,,,,57.5389649,25.4267958
Valmieras Pārgaujas sākumskola,2511900633,Pašvaldība,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Valmieras pilsētas Dome,Valmieras pilsētas Dome,"Meža 12a, VALMIERA, LV-4201",4235307,,Valmiera,J,,,,,57.527904,25.4280178
Valmieras Pārtikas ražotāju vidusskola,2531002563,Valsts tiešās pārvaldes iestāde,ĒRIKS SPURIŅŠ,0,0,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,Latvijas Republikas Ministru kabinets,Latvijas Republikas Ministru kabinets,"AUSEKĻA IELA 25b, VALMIERA, LV-4201",64207540 64207538,vprv.spurins@inbox.lv,Valmiera,J,,,,,57.5306427,25.3946877
Valmieras pilsētas 1. pirmsskolas izglītības iestāde,2501901923,Pastarpinātās pārvaldes iestāde,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Valmieras pilsētas pašvaldība,Valmieras pilsētas Dome,"PALEJAS IELA 5, VALMIERA, LV-4201",64222645,v1pii@valmiera.lv,Valmiera,J,,,,,57.5422181,25.4314801
"Valmieras pilsētas 2. pirmsskolas izglītības iestāde ""Ezītis""",2501901598,Pastarpinātās pārvaldes iestāde,ELITA SKRASTIŅA,0,1,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Valmieras pilsētas pašvaldība,Valmieras pilsētas pašvaldība,"LĀČPLĒŠA IELA 2, VALMIERA, LV-4201","64227113, 64227125, 64227256",ezitis@valmiera.lv,Valmiera,N,,,,,57.5389649,25.4267958
"Valmieras pilsētas 3. pirmsskolas izglītības iestāde ""Sprīdītis""",2501901599,Pastarpinātās pārvaldes iestāde,SARMĪTE INDRIKSONE,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Valmieras pilsētas pašvaldība,Valmieras pilsētas pašvaldība,"LĀČPLĒŠA IELA 2, VALMIERA, LV-4201","64231434, 64231362",spriditis@valmiera.lv,Valmiera,N,,,,,57.5389649,25.4267958
"Valmieras pilsētas 5. pirmsskolas izglītības iestāde ""Vālodzīte""",2501901924,Pastarpinātās pārvaldes iestāde,EVIJA LIPE,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Valmieras pilsētas pašvaldība,Valmieras pilsētas pašvaldība,"LĀČPLĒŠA IELA 2, VALMIERA, LV-4201","64235378, 64232457",valodzite@valmiera.lv,Valmiera,N,,,,,57.5389649,25.4267958
"Valmieras pilsētas 6. pirmsskolas izglītības iestāde ""Kārliena""",2501901925,Pastarpinātās pārvaldes iestāde,IVETA NOLBERGA,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Valmieras pilsētas pašvaldība,Valmieras pilsētas Dome,"RŪPNIECĪBAS IELA 16a, VALMIERA, LV-4201","64235867, 64225551",karliena@valmiera.lv,Valmiera,N,,,,,57.5256183,25.4296774
"Valmieras pilsētas 8. pirmsskolas izglītības iestāde ""Pienenīte""",2501901926,Pastarpinātās pārvaldes iestāde,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Valmieras pilsētas pašvaldība,Valmieras pilsētas Dome,"GEORGA APIŅA IELA 5, VALMIERA, LV-4201",64225551,,Valmiera,J,,,,,57.5396544,25.4166281
